"V1" "V2" "V3" "V4"
"1" "C" "V" "-1" "V"
"2" "C" "V" "-1" "V"
"3" "C" "V" "-1" "V"
"4" "C" "V" "-1" "V"
"5" "C" "V" "-1" "V"
"6" "C" "V" "-1" "V"
"7" "C" "V" "-1" "V"
"8" "C" "V" "-1" "V"
"9" "C" "V" "-1" "V"
"10" "C" "V" "-1" "V"
"11" "C" "V" "-1" "V"
"12" "C" "V" "-1" "V"
"13" "C" "V" "-1" "V"
"14" "C" "V" "-1" "V"
"15" "C" "V" "C" "-1"
"16" "C" "V" "-1" "V"
"17" "C" "V" "-1" "V"
"18" "C" "V" "-1" "V"
"19" "C" "V" "-1" "V"
"20" "C" "V" "-1" "V"
"21" "C" "V" "-1" "V"
"22" "C" "V" "-1" "V"
"23" "C" "V" "-1" "V"
"24" "C" "V" "-1" "V"
"25" "C" "V" "-1" "V"
"26" "C" "V" "-1" "V"
"27" "C" "V" "-1" "V"
"28" "C" "V" "-1" "V"
