"V1" "V2" "V3" "V4"
"1" "C" "V" "C" "V"
"2" "C" "V" "C" "-1"
"3" "C" "V" "C" "-1"
"4" "C" "V" "C" "-1"
"5" "C" "V" "C" "-1"
"6" "C" "V" "C" "-1"
"7" "C" "V" "C" "-1"
"8" "C" "V" "C" "-1"
"9" "C" "V" "C" "-1"
"10" "C" "V" "C" "-1"
"11" "C" "V" "C" "-1"
"12" "C" "V" "C" "V"
"13" "C" "V" "C" "V"
"14" "C" "V" "C" "-1"
"15" "C" "V" "C" "-1"
"16" "C" "V" "C" "-1"
"17" "C" "V" "C" "-1"
"18" "C" "V" "C" "-1"
"19" "C" "V" "C" "-1"
"20" "C" "V" "C" "V"
"21" "C" "V" "C" "-1"
"22" "C" "V" "C" "-1"
"23" "C" "V" "C" "-1"
"24" "C" "V" "C" "V"
"25" "C" "V" "C" "-1"
"26" "C" "V" "C" "-1"
"27" "C" "V" "C" "V"
"28" "C" "V" "C" "V"
"29" "C" "V" "C" "V"
"30" "C" "V" "C" "V"
"31" "C" "V" "C" "-1"
"32" "C" "V" "C" "-1"
"33" "C" "V" "C" "-1"
"34" "C" "V" "C" "-1"
"35" "C" "V" "C" "-1"
"36" "C" "V" "C" "-1"
"37" "C" "V" "C" "-1"
"38" "C" "V" "C" "-1"
"39" "C" "V" "C" "-1"
"40" "C" "V" "C" "-1"
"41" "C" "V" "C" "-1"
"42" "C" "V" "C" "-1"
"43" "C" "V" "C" "-1"
"44" "C" "V" "C" "-1"
"45" "C" "V" "C" "-1"
"46" "C" "V" "C" "-1"
"47" "C" "V" "C" "-1"
"48" "C" "V" "C" "-1"
"49" "C" "V" "C" "-1"
"50" "C" "V" "C" "-1"
"51" "C" "V" "C" "-1"
"52" "C" "V" "C" "-1"
"53" "C" "V" "C" "-1"
"54" "C" "V" "C" "-1"
"55" "C" "V" "C" "-1"
"56" "C" "V" "C" "-1"
"57" "C" "V" "C" "-1"
"58" "C" "V" "C" "-1"
"59" "C" "V" "C" "-1"
"60" "C" "V" "C" "-1"
"61" "C" "V" "C" "-1"
"62" "C" "V" "C" "-1"
"63" "C" "V" "C" "-1"
"64" "C" "V" "C" "-1"
"65" "C" "V" "C" "-1"
"66" "C" "V" "C" "-1"
"67" "C" "V" "C" "-1"
"68" "C" "V" "C" "-1"
"69" "C" "V" "C" "-1"
"70" "C" "V" "C" "-1"
"71" "C" "V" "C" "V"
"72" "C" "V" "C" "V"
"73" "C" "V" "C" "-1"
"74" "C" "V" "C" "-1"
"75" "C" "V" "C" "-1"
"76" "C" "V" "C" "-1"
"77" "C" "V" "C" "-1"
"78" "C" "V" "C" "-1"
"79" "C" "V" "C" "-1"
"80" "C" "V" "C" "-1"
"81" "C" "V" "C" "-1"
"82" "C" "V" "C" "-1"
"83" "C" "V" "C" "-1"
"84" "C" "V" "C" "-1"
"85" "C" "V" "C" "-1"
"86" "C" "V" "C" "-1"
"87" "C" "V" "C" "V"
"88" "C" "V" "C" "V"
"89" "C" "V" "C" "V"
"90" "C" "V" "C" "V"
"91" "C" "V" "C" "V"
