"V1" "V2" "V3" "V4"
"1" "C" "V" "C" "V"
"2" "C" "V" "C" "V"
"3" "C" "V" "C" "V"
"4" "C" "V" "C" "V"
"5" "C" "V" "C" "V"
"6" "C" "V" "C" "V"
"7" "C" "V" "C" "V"
"8" "C" "V" "C" "V"
"9" "-1" "V" "C" "V"
"10" "C" "V" "C" "V"
"11" "C" "V" "C" "V"
"12" "C" "V" "C" "V"
"13" "C" "V" "C" "V"
"14" "C" "V" "C" "V"
"15" "C" "V" "C" "V"
"16" "C" "V" "C" "V"
"17" "C" "V" "C" "V"
"18" "C" "V" "C" "V"
"19" "C" "V" "C" "V"
"20" "C" "V" "C" "V"
"21" "-1" "V" "C" "V"
"22" "C" "V" "C" "V"
"23" "C" "V" "C" "V"
"24" "-1" "V" "C" "V"
"25" "-1" "V" "C" "V"
"26" "-1" "V" "C" "V"
"27" "C" "V" "C" "V"
"28" "-1" "V" "C" "V"
"29" "-1" "V" "C" "V"
"30" "C" "V" "C" "V"
"31" "C" "V" "C" "V"
"32" "C" "V" "C" "V"
"33" "-1" "V" "C" "V"
"34" "C" "V" "C" "V"
"35" "C" "V" "C" "V"
"36" "C" "V" "C" "V"
"37" "C" "V" "C" "V"
"38" "C" "V" "C" "V"
"39" "C" "V" "C" "V"
"40" "C" "V" "C" "V"
"41" "C" "V" "C" "V"
"42" "C" "V" "C" "V"
"43" "C" "V" "C" "V"
"44" "C" "V" "C" "V"
"45" "C" "V" "C" "V"
"46" "C" "V" "C" "V"
"47" "C" "V" "C" "V"
"48" "C" "V" "C" "V"
"49" "C" "V" "C" "V"
"50" "C" "V" "C" "V"
"51" "C" "V" "C" "V"
"52" "C" "V" "C" "V"
"53" "C" "V" "C" "V"
"54" "C" "V" "C" "V"
"55" "C" "V" "C" "V"
"56" "C" "V" "C" "V"
"57" "C" "V" "C" "V"
"58" "C" "V" "C" "V"
"59" "C" "V" "C" "V"
"60" "C" "V" "C" "V"
"61" "C" "V" "C" "V"
"62" "C" "V" "C" "V"
"63" "-1" "V" "C" "V"
"64" "C" "V" "C" "V"
"65" "-1" "V" "C" "V"
"66" "C" "V" "C" "V"
"67" "C" "V" "C" "V"
"68" "C" "V" "C" "V"
"69" "C" "V" "C" "V"
"70" "C" "V" "C" "V"
"71" "C" "V" "C" "V"
"72" "-1" "V" "C" "V"
"73" "-1" "V" "C" "V"
"74" "-1" "V" "C" "V"
"75" "C" "V" "C" "V"
"76" "C" "V" "C" "V"
"77" "C" "V" "C" "V"
"78" "C" "V" "C" "V"
"79" "C" "V" "C" "V"
"80" "C" "V" "C" "V"
"81" "C" "V" "C" "V"
"82" "C" "V" "C" "V"
"83" "C" "V" "C" "V"
"84" "C" "V" "C" "V"
"85" "C" "V" "C" "V"
"86" "C" "V" "C" "V"
"87" "C" "V" "C" "V"
"88" "C" "V" "C" "V"
"89" "C" "V" "C" "V"
"90" "C" "V" "C" "V"
"91" "C" "V" "C" "V"
"92" "C" "V" "C" "V"
"93" "C" "V" "C" "V"
"94" "C" "V" "C" "V"
"95" "C" "V" "C" "V"
"96" "C" "V" "C" "V"
