"V1" "V2" "V3" "V4"
"1" "-1" "V" "C" "V"
"2" "-1" "-1" "C" "V"
"3" "-1" "-1" "C" "V"
"4" "-1" "-1" "C" "V"
"5" "-1" "-1" "C" "V"
"6" "-1" "-1" "C" "V"
"7" "-1" "-1" "C" "V"
"8" "-1" "-1" "C" "V"
"9" "-1" "-1" "C" "V"
"10" "-1" "-1" "C" "V"
"11" "-1" "-1" "C" "V"
"12" "-1" "V" "C" "V"
"13" "-1" "V" "C" "V"
"14" "-1" "V" "C" "V"
"15" "-1" "-1" "C" "V"
"16" "-1" "-1" "C" "V"
"17" "-1" "-1" "C" "V"
"18" "-1" "-1" "C" "V"
"19" "-1" "-1" "C" "V"
"20" "-1" "-1" "C" "V"
"21" "-1" "-1" "C" "V"
"22" "-1" "-1" "C" "V"
"23" "-1" "-1" "C" "V"
"24" "-1" "-1" "C" "V"
"25" "-1" "-1" "C" "V"
"26" "-1" "-1" "C" "V"
"27" "-1" "-1" "C" "V"
"28" "-1" "-1" "C" "V"
"29" "-1" "-1" "C" "V"
"30" "-1" "-1" "C" "V"
"31" "-1" "-1" "C" "V"
"32" "-1" "-1" "C" "V"
"33" "-1" "-1" "C" "V"
"34" "-1" "V" "C" "V"
"35" "-1" "-1" "C" "V"
"36" "-1" "V" "C" "V"
"37" "-1" "-1" "C" "V"
"38" "-1" "V" "C" "V"
"39" "-1" "-1" "C" "V"
"40" "-1" "V" "C" "V"
"41" "-1" "V" "C" "V"
"42" "-1" "V" "C" "V"
"43" "-1" "V" "C" "V"
"44" "-1" "V" "C" "V"
"45" "-1" "V" "C" "V"
"46" "-1" "-1" "C" "V"
"47" "-1" "V" "C" "V"
"48" "-1" "V" "C" "V"
"49" "-1" "V" "C" "V"
"50" "-1" "V" "C" "V"
"51" "-1" "V" "C" "V"
"52" "-1" "V" "C" "V"
"53" "-1" "V" "C" "V"
"54" "-1" "V" "C" "V"
"55" "-1" "V" "C" "V"
"56" "-1" "V" "C" "V"
"57" "-1" "V" "C" "V"
"58" "-1" "V" "C" "V"
"59" "-1" "V" "C" "V"
"60" "-1" "V" "C" "V"
"61" "-1" "V" "C" "V"
"62" "-1" "V" "C" "V"
"63" "-1" "V" "C" "V"
"64" "-1" "V" "C" "V"
"65" "-1" "V" "C" "V"
"66" "-1" "V" "C" "V"
"67" "-1" "V" "C" "V"
"68" "-1" "V" "C" "V"
"69" "-1" "V" "C" "V"
"70" "-1" "V" "C" "V"
"71" "-1" "V" "C" "V"
"72" "-1" "V" "C" "V"
"73" "-1" "V" "C" "V"
"74" "-1" "V" "C" "V"
"75" "C" "-1" "C" "V"
"76" "-1" "V" "-1" "V"
"77" "C" "-1" "C" "V"
"78" "C" "-1" "C" "V"
"79" "C" "-1" "C" "V"
"80" "-1" "V" "C" "V"
"81" "C" "V" "C" "V"
"82" "-1" "V" "C" "V"
"83" "-1" "V" "C" "V"
"84" "-1" "V" "C" "V"
"85" "-1" "V" "C" "V"
"86" "-1" "V" "C" "V"
"87" "-1" "V" "C" "V"
"88" "-1" "V" "C" "V"
"89" "-1" "V" "C" "V"
"90" "-1" "V" "C" "V"
"91" "-1" "V" "C" "V"
"92" "-1" "V" "C" "V"
"93" "-1" "V" "C" "V"
"94" "-1" "-1" "C" "V"
"95" "-1" "V" "C" "V"
"96" "-1" "V" "C" "V"
