"V1" "V2" "V3" "V4"
"1" "C" "V" "C" "V"
"2" "C" "V" "-1" "-1"
"3" "C" "-1" "C" "V"
"4" "C" "-1" "C" "V"
"5" "-1" "-1" "C" "V"
"6" "-1" "-1" "C" "V"
"7" "C" "V" "C" "V"
"8" "C" "V" "C" "V"
"9" "C" "V" "C" "V"
"10" "C" "V" "C" "V"
"11" "C" "V" "C" "V"
"12" "C" "V" "C" "V"
"13" "C" "V" "C" "V"
"14" "C" "V" "C" "V"
"15" "C" "V" "C" "V"
"16" "C" "V" "C" "V"
"17" "C" "V" "C" "V"
"18" "C" "V" "C" "V"
"19" "C" "V" "C" "V"
"20" "C" "V" "C" "V"
"21" "C" "V" "C" "V"
"22" "C" "V" "C" "V"
"23" "C" "V" "C" "V"
"24" "C" "V" "C" "V"
"25" "C" "V" "C" "V"
"26" "C" "V" "C" "V"
"27" "C" "V" "C" "V"
"28" "C" "V" "C" "V"
"29" "C" "V" "C" "V"
"30" "C" "V" "C" "V"
"31" "C" "V" "C" "V"
"32" "C" "V" "C" "V"
"33" "C" "V" "C" "V"
"34" "C" "V" "C" "V"
"35" "C" "V" "C" "V"
"36" "C" "V" "C" "V"
"37" "C" "V" "C" "V"
"38" "C" "V" "C" "V"
"39" "C" "V" "C" "V"
"40" "C" "V" "C" "V"
"41" "C" "V" "C" "V"
"42" "C" "V" "C" "V"
"43" "C" "V" "C" "V"
"44" "C" "V" "C" "V"
"45" "C" "V" "C" "V"
"46" "C" "-1" "C" "V"
"47" "C" "V" "C" "V"
"48" "C" "V" "C" "V"
"49" "C" "V" "C" "V"
"50" "C" "V" "C" "V"
"51" "C" "V" "C" "V"
"52" "C" "V" "C" "V"
"53" "C" "V" "C" "V"
"54" "C" "V" "C" "V"
"55" "C" "V" "C" "V"
"56" "C" "V" "C" "V"
"57" "C" "V" "C" "V"
