"V1" "V2" "V3" "V4"
"1" "C" "V" "C" "V"
"2" "C" "V" "C" "V"
"3" "C" "V" "C" "V"
"4" "C" "V" "C" "V"
"5" "C" "V" "C" "V"
"6" "C" "V" "C" "V"
"7" "C" "V" "C" "V"
"8" "C" "V" "C" "V"
"9" "C" "V" "C" "V"
"10" "C" "V" "C" "V"
"11" "C" "V" "C" "V"
"12" "C" "V" "C" "V"
"13" "C" "V" "C" "V"
"14" "C" "V" "C" "V"
"15" "C" "V" "C" "V"
"16" "C" "V" "C" "V"
"17" "C" "V" "C" "V"
"18" "C" "V" "C" "V"
"19" "C" "V" "C" "V"
"20" "C" "V" "C" "V"
"21" "C" "V" "C" "V"
"22" "C" "V" "C" "V"
"23" "C" "V" "C" "-1"
"24" "C" "V" "C" "-1"
"25" "C" "V" "C" "-1"
"26" "C" "V" "C" "-1"
"27" "C" "V" "C" "-1"
"28" "C" "V" "C" "-1"
"29" "C" "V" "C" "-1"
"30" "C" "V" "-1" "V"
"31" "C" "V" "-1" "V"
"32" "C" "V" "-1" "V"
"33" "C" "V" "C" "-1"
"34" "C" "V" "C" "-1"
"35" "C" "V" "C" "-1"
"36" "C" "V" "C" "-1"
