"V1" "V2" "V3" "V4"
"1" "C" "V" "C" "V"
"2" "-1" "-1" "C" "V"
"3" "-1" "-1" "C" "V"
"4" "-1" "-1" "C" "V"
"5" "-1" "-1" "C" "V"
"6" "-1" "-1" "C" "V"
"7" "-1" "-1" "C" "V"
"8" "-1" "-1" "C" "V"
"9" "-1" "-1" "C" "V"
"10" "-1" "-1" "C" "V"
"11" "-1" "-1" "C" "V"
"12" "-1" "-1" "C" "V"
"13" "C" "-1" "C" "V"
"14" "C" "-1" "C" "V"
"15" "-1" "-1" "C" "V"
"16" "-1" "-1" "C" "V"
"17" "-1" "-1" "C" "V"
"18" "-1" "-1" "C" "V"
"19" "-1" "-1" "C" "V"
"20" "C" "V" "C" "V"
"21" "-1" "-1" "C" "V"
"22" "-1" "-1" "C" "V"
"23" "-1" "-1" "C" "V"
"24" "-1" "-1" "C" "V"
"25" "-1" "-1" "C" "V"
"26" "-1" "-1" "C" "V"
"27" "-1" "-1" "C" "V"
"28" "-1" "-1" "C" "V"
"29" "-1" "-1" "C" "V"
"30" "-1" "-1" "C" "V"
"31" "C" "-1" "C" "V"
"32" "-1" "-1" "C" "V"
"33" "-1" "-1" "C" "V"
"34" "C" "-1" "C" "V"
"35" "C" "-1" "C" "V"
"36" "C" "-1" "C" "V"
"37" "C" "-1" "C" "V"
"38" "C" "-1" "C" "V"
"39" "C" "-1" "C" "V"
"40" "C" "-1" "C" "V"
"41" "C" "-1" "C" "V"
"42" "C" "-1" "C" "V"
"43" "C" "-1" "C" "V"
"44" "-1" "-1" "C" "V"
"45" "-1" "-1" "C" "V"
"46" "C" "-1" "C" "V"
"47" "C" "-1" "C" "V"
"48" "C" "-1" "C" "V"
"49" "C" "-1" "C" "V"
"50" "-1" "-1" "C" "V"
"51" "C" "-1" "C" "V"
"52" "C" "-1" "C" "V"
"53" "C" "-1" "C" "V"
"54" "-1" "-1" "C" "V"
"55" "C" "-1" "C" "V"
"56" "C" "-1" "C" "V"
"57" "C" "-1" "C" "V"
"58" "C" "-1" "C" "V"
"59" "C" "-1" "C" "V"
"60" "C" "-1" "C" "V"
"61" "C" "-1" "C" "V"
"62" "C" "-1" "C" "V"
"63" "C" "-1" "C" "V"
"64" "C" "-1" "C" "V"
"65" "C" "-1" "C" "V"
"66" "C" "-1" "C" "V"
"67" "C" "-1" "C" "V"
"68" "-1" "-1" "C" "V"
"69" "C" "-1" "C" "V"
"70" "C" "-1" "C" "V"
"71" "-1" "-1" "C" "V"
"72" "-1" "-1" "C" "V"
"73" "-1" "-1" "C" "V"
"74" "C" "-1" "C" "V"
"75" "C" "V" "C" "V"
"76" "C" "V" "C" "V"
"77" "C" "V" "C" "V"
"78" "C" "V" "C" "V"
"79" "C" "V" "C" "V"
"80" "C" "V" "C" "V"
"81" "C" "V" "C" "V"
"82" "C" "V" "C" "V"
"83" "C" "V" "C" "V"
"84" "C" "V" "C" "V"
"85" "C" "V" "C" "V"
"86" "C" "V" "C" "V"
"87" "C" "V" "C" "V"
"88" "C" "V" "C" "V"
"89" "C" "V" "C" "V"
"90" "C" "V" "C" "V"
"91" "C" "V" "C" "V"
"92" "C" "V" "C" "V"
"93" "-1" "-1" "C" "V"
"94" "-1" "-1" "C" "V"
