"V1" "V2" "V3" "V4"
"1" "-1" "V" "C" "V"
"2" "C" "-1" "C" "V"
"3" "C" "-1" "C" "V"
"4" "C" "-1" "C" "V"
"5" "C" "-1" "C" "V"
"6" "C" "-1" "C" "V"
"7" "C" "-1" "C" "V"
"8" "C" "-1" "C" "V"
"9" "C" "-1" "C" "V"
"10" "C" "-1" "C" "V"
"11" "C" "-1" "C" "V"
"12" "C" "V" "C" "V"
"13" "-1" "-1" "C" "V"
"14" "-1" "-1" "C" "V"
"15" "C" "-1" "C" "V"
"16" "C" "-1" "C" "V"
"17" "C" "-1" "C" "V"
"18" "C" "-1" "C" "V"
"19" "C" "-1" "C" "V"
"20" "C" "-1" "C" "V"
"21" "C" "-1" "C" "V"
"22" "C" "-1" "C" "V"
"23" "C" "-1" "C" "V"
"24" "-1" "-1" "C" "V"
"25" "-1" "-1" "C" "V"
"26" "-1" "-1" "C" "V"
"27" "C" "-1" "C" "V"
"28" "C" "-1" "C" "V"
"29" "C" "-1" "C" "V"
"30" "C" "-1" "C" "V"
"31" "C" "-1" "C" "V"
"32" "C" "-1" "C" "V"
"33" "-1" "-1" "C" "V"
"34" "C" "-1" "C" "V"
"35" "C" "-1" "C" "V"
"36" "C" "-1" "C" "V"
"37" "C" "-1" "C" "V"
"38" "C" "-1" "C" "V"
"39" "C" "-1" "C" "V"
"40" "C" "-1" "C" "V"
"41" "C" "-1" "C" "V"
"42" "C" "-1" "C" "V"
"43" "C" "-1" "C" "V"
"44" "C" "-1" "C" "V"
"45" "C" "-1" "C" "V"
"46" "C" "-1" "C" "V"
"47" "C" "-1" "C" "V"
"48" "C" "-1" "C" "V"
"49" "C" "-1" "C" "V"
"50" "C" "-1" "C" "V"
"51" "C" "-1" "C" "V"
"52" "C" "-1" "C" "V"
"53" "C" "-1" "C" "V"
"54" "C" "-1" "C" "V"
"55" "C" "-1" "C" "V"
"56" "C" "-1" "C" "V"
"57" "-1" "-1" "C" "V"
"58" "C" "-1" "C" "V"
"59" "C" "-1" "C" "V"
"60" "C" "-1" "C" "V"
"61" "C" "-1" "C" "V"
"62" "C" "-1" "C" "V"
"63" "-1" "-1" "C" "V"
"64" "C" "-1" "C" "V"
"65" "-1" "-1" "C" "V"
"66" "-1" "-1" "C" "V"
"67" "C" "-1" "C" "V"
"68" "C" "-1" "C" "V"
"69" "-1" "-1" "C" "V"
"70" "C" "-1" "C" "V"
"71" "-1" "-1" "C" "V"
"72" "C" "-1" "C" "V"
"73" "-1" "-1" "C" "V"
"74" "-1" "-1" "C" "V"
"75" "-1" "-1" "C" "V"
"76" "-1" "-1" "C" "V"
"77" "-1" "-1" "C" "V"
"78" "-1" "-1" "C" "V"
"79" "-1" "-1" "C" "V"
"80" "-1" "-1" "C" "V"
"81" "-1" "-1" "C" "V"
"82" "-1" "-1" "C" "V"
"83" "-1" "V" "-1" "V"
"84" "-1" "V" "-1" "V"
"85" "-1" "V" "-1" "V"
"86" "-1" "V" "-1" "V"
"87" "-1" "V" "-1" "V"
"88" "-1" "V" "-1" "V"
"89" "-1" "-1" "C" "V"
"90" "-1" "-1" "C" "V"
"91" "-1" "-1" "-1" "V"
"92" "-1" "V" "C" "V"
"93" "-1" "-1" "C" "V"
"94" "-1" "V" "C" "V"
"95" "-1" "-1" "C" "V"
"96" "-1" "-1" "C" "V"
